date,open,high,low,close,to symbol,from symbol
2022-11-13,7.2288,7.2715,7.025,7.1071,CNY,USD
2022-11-06,7.3018,7.3262,7.1751,7.1751,CNY,USD
2022-10-30,7.2619,7.3082,7.1659,7.2514,CNY,USD
2022-10-23,7.1955,7.2623,7.1826,7.2428,CNY,USD
2022-10-16,7.1536,7.2198,7.1509,7.19,CNY,USD
2022-10-09,7.1149,7.1535,7.1076,7.115,CNY,USD
2022-10-02,7.148,7.2495,7.0831,7.115,CNY,USD
2022-09-25,7.0056,7.1665,6.9964,7.1274,CNY,USD
2022-09-18,6.925,7.0245,6.911,6.979,CNY,USD
2022-09-11,6.9331,6.9786,6.9087,6.9255,CNY,USD
2022-09-04,6.907,6.9422,6.8796,6.899,CNY,USD
2022-08-28,6.8479,6.9214,6.8321,6.8708,CNY,USD
2022-08-21,6.772,6.8496,6.7619,6.8157,CNY,USD
2022-08-14,6.7499,6.7731,6.7223,6.7418,CNY,USD
2022-08-07,6.7677,6.7809,6.7317,6.7609,CNY,USD
2022-07-31,6.7495,6.7732,6.7275,6.7432,CNY,USD
2022-07-24,6.7423,6.7701,6.7354,6.7505,CNY,USD
2022-07-17,6.7172,6.7675,6.7087,6.7565,CNY,USD
2022-07-10,6.6986,6.7223,6.6836,6.6943,CNY,USD
2022-07-03,6.6907,6.7156,6.6743,6.7005,CNY,USD
2022-06-26,6.6914,6.725,6.671,6.6888,CNY,USD
2022-06-19,6.7535,6.7601,6.6727,6.7157,CNY,USD
2022-06-12,6.6529,6.7582,6.6528,6.7079,CNY,USD
2022-06-05,6.6603,6.7049,6.6322,6.6593,CNY,USD
2022-05-29,6.6498,6.748,6.6452,6.6976,CNY,USD
2022-05-22,6.7851,6.7852,6.6456,6.692,CNY,USD
2022-05-15,6.7298,6.8106,6.6904,6.788,CNY,USD
2022-05-08,6.6075,6.7299,6.595,6.6656,CNY,USD
2022-05-01,6.5579,6.6492,6.5218,6.6075,CNY,USD
2022-04-24,6.3662,6.5763,6.366,6.5003,CNY,USD
2022-04-17,6.3687,6.3794,6.3563,6.3702,CNY,USD
2022-04-10,6.3624,6.3747,6.3493,6.364,CNY,USD
2022-04-03,6.3707,6.3724,6.3332,6.3621,CNY,USD
2022-03-27,6.3545,6.3802,6.3499,6.3652,CNY,USD
2022-03-20,6.3646,6.3835,6.3361,6.3602,CNY,USD
2022-03-13,6.3193,6.3645,6.3038,6.3387,CNY,USD
2022-03-06,6.3084,6.3246,6.3014,6.3167,CNY,USD
2022-02-27,6.3342,6.3501,6.2992,6.316,CNY,USD
2022-02-20,6.3559,6.3566,6.3161,6.3242,CNY,USD
2022-02-13,6.3523,6.3705,6.3441,6.3531,CNY,USD
2022-02-06,6.3595,6.36,6.3317,6.3595,CNY,USD
2022-01-30,6.3298,6.3678,6.3109,6.351,CNY,USD
2022-01-23,6.3467,6.3544,6.3186,6.3377,CNY,USD
2022-01-16,6.3739,6.3752,6.3339,6.3515,CNY,USD
2022-01-09,6.3551,6.3826,6.3521,6.3762,CNY,USD
2022-01-02,6.3698,6.3775,6.3397,6.3549,CNY,USD
2021-12-26,6.3746,6.3751,6.3597,6.3666,CNY,USD
2021-12-19,6.3655,6.3816,6.3529,6.374,CNY,USD
2021-12-12,6.3748,6.3825,6.3337,6.36,CNY,USD
2021-12-05,6.387,6.3878,6.3565,6.3753,CNY,USD
2021-11-28,6.3843,6.3927,6.3758,6.392,CNY,USD
2021-11-21,6.3821,6.3954,6.3658,6.3862,CNY,USD
2021-11-14,6.3916,6.4068,6.3713,6.3786,CNY,USD
2021-11-07,6.3962,6.4063,6.3827,6.3979,CNY,USD
2021-10-31,6.3847,6.4068,6.3709,6.4047,CNY,USD
2021-10-24,6.4289,6.4289,6.3717,6.3839,CNY,USD
2021-10-17,6.4496,6.457,6.4202,6.4348,CNY,USD
2021-10-10,6.4452,6.4504,6.4252,6.4423,CNY,USD
2021-10-03,6.456,6.4733,6.4367,6.4457,CNY,USD
2021-09-26,6.465,6.4723,6.4435,6.4657,CNY,USD
2021-09-19,6.4508,6.4679,6.4275,6.4652,CNY,USD
2021-09-12,6.4567,6.4661,6.4271,6.4434,CNY,USD
2021-09-05,6.4651,6.4709,6.4327,6.4519,CNY,USD
2021-08-29,6.48,6.4867,6.4577,6.4708,CNY,USD
2021-08-22,6.4736,6.5031,6.4675,6.4916,CNY,USD
2021-08-15,6.4852,6.4873,6.4657,6.4764,CNY,USD
2021-08-08,6.4612,6.4869,6.4498,6.4825,CNY,USD
2021-08-01,6.4817,6.5105,6.4432,6.4605,CNY,USD
2021-07-25,6.4894,6.4895,6.4557,6.4804,CNY,USD
2021-07-18,6.4746,6.4902,6.4485,6.4782,CNY,USD
2021-07-11,6.4628,6.4898,6.4527,6.478,CNY,USD
2021-07-04,6.4551,6.4838,6.4448,6.4721,CNY,USD
2021-06-27,6.4659,6.4887,6.4456,6.4463,CNY,USD
2021-06-20,6.3972,6.4703,6.3926,6.4521,CNY,USD
2021-06-13,6.3963,6.4,6.3734,6.3977,CNY,USD
2021-06-06,6.369,6.4111,6.3615,6.3943,CNY,USD
2021-05-30,6.4183,6.4186,6.3518,6.3674,CNY,USD
